long,lat,no
145.53099,-16.620639999999998,1
135.59193,-12.00486,1
136.5195,-16.2454,1
135.6017,-15.4769,1
134.418,-12.4643,1
142.43925,-10.7586,1
133.84169,-12.491010000000001,1
134.70491,-12.05062,1
132.3548,-14.35992,1
132.15386999999998,-11.451839999999999,1
130.26068,-15.86263,1
130.31935,-15.78904,1
134.45525,-15.259220000000001,1
131.00015,-13.23645,1
136.49008,-16.34845,1
126.38086000000001,-27.02102,1
130.2878,-15.8775,1
142.78024,-16.944370000000003,1
133.87933,-12.51551,1
141.93985,-12.5236,1
130.25255,-15.86835,1
136.46947,-16.3703,1
134.83581999999998,-12.32376,1
134.57976000000002,-12.287939999999999,1
142.51466000000002,-12.00206,1
133.5015,-27.32606,1
134.5674,-12.5986,1
134.4032,-12.4656,1
132.74489,-11.78598,1
133.02684,-12.21897,1
136.93663,-16.09618,1
136.48854,-16.34565,1
130.29973999999999,-15.774460000000001,1
126.40428999999999,-27.024440000000002,1
133.86688,-12.49836,1
135.3745,-12.53177,1
144.27783,-16.08994,1
132.78059,-11.772860000000001,1
135.6147,-15.4193,1
143.3479,-12.7383,1
149.9408,-27.44282,1
129.99872,-14.10515,1
142.75185,-12.884689999999999,1
136.9379,-16.103379999999998,1
132.51559,-11.06184,1
135.60762,-12.40805,1
135.24542,-12.6705,1
144.36575,-16.00965,1
132.70845,-11.75768,1
132.76187,-11.78688,1
152.1804,-25.430229999999998,1
134.70543,-12.31018,1
146.01773,-33.46723,1
134.45453,-12.17239,1
134.56531999999999,-12.598310000000001,1
134.55966,-12.595260000000001,1
136.2392,-12.177760000000001,1
142.57872,-17.1906,1
136.4847,-16.34635,1
134.57873999999998,-12.25197,1
144.34264,-16.0454,1
132.13483,-11.37347,1
142.05272,-12.307039999999999,1
141.56708999999998,-34.731609999999996,1
144.28296,-16.08944,1
132.18526,-11.17648,1
132.3491,-14.3645,1
142.5932,-11.10324,1
134.45744,-15.247710000000001,1
130.82574,-11.367280000000001,1
129.81888,-14.0378,1
134.70847,-12.05251,1
131.02366999999998,-13.222529999999999,1
142.5164,-12.0096,1
142.30843000000002,-10.183589999999999,1
135.5047,-12.3086,1
133.85707,-12.4964,1
134.55936,-12.25925,1
128.14619,-16.98977,1
130.28075,-11.7453,1
132.1444,-11.4599,1
133.8645,-12.5219,1
134.4124,-12.4643,1
135.30095,-12.565439999999999,1
142.78162,-16.99466,1
142.18175,-10.71774,1
144.2524,-16.09882,1
133.06332,-12.25722,1
126.43732,-27.032220000000002,1
135.7831,-12.5264,1
134.5663,-12.27012,1
152.18481,-25.42976,1
130.75826,-13.380889999999999,1
134.58192,-12.28712,1
134.51035,-12.5545,1
131.00214,-13.225879999999998,1
152.18137,-25.42822,1
134.40686000000002,-12.43383,1
142.74149,-12.89439,1
144.25818,-16.08338,1
149.73129,-27.489,1
144.38867,-15.98887,1
142.89616,-13.157179999999999,1
147.44058,-26.79598,1
136.55196999999998,-16.17472,1
133.00551000000002,-12.24463,1
134.29419,-12.20716,1
150.0898,-27.002,1
116.75979,-20.60799,1
129.9285,-14.23755,1
131.07166,-13.353829999999999,1
131.06911000000002,-13.34402,1
146.4418,-32.976240000000004,1
141.2782,-35.0287,1
132.76001000000002,-11.72308,1
149.09378,-27.510479999999998,1
143.29846,-12.787239999999999,1
132.74017,-11.7319,1
142.75673999999998,-12.88167,1
132.69461,-11.79303,1
134.6376,-12.2855,1
150.2388,-33.1086,1
122.0283,-33.754220000000004,1
134.39241,-15.288920000000001,1
142.1939,-14.8799,1
134.4098,-12.4462,1
134.40796,-12.42837,1
132.31305,-12.682080000000001,1
132.14647,-11.40655,1
142.59776000000002,-12.67633,1
130.99388000000002,-13.220320000000001,1
142.06152,-12.50585,1
134.41411000000002,-15.28086,1
130.82883,-11.36733,1
134.95506,-12.24262,1
132.04108,-12.78641,1
130.99908,-13.229779999999998,1
134.89772,-12.3651,1
134.40334,-12.44238,1
132.13924,-12.69112,1
143.42413,-14.302710000000001,1
134.37367,-12.17404,1
142.21577,-10.68933,1
136.5275,-16.23473,1
143.36678,-12.7355,1
142.61194,-11.088230000000001,1
132.13574,-11.36872,1
142.78049,-16.98884,1
142.06078,-12.484119999999999,1
132.69995,-11.76773,1
142.5632,-17.2094,1
146.44106000000002,-35.8947,1
135.37521,-12.53585,1
133.8632,-12.5128,1
130.75903,-13.354429999999999,1
142.07903000000002,-12.32173,1
136.4798,-16.36094,1
136.68774,-13.8194,1
152.5576,-26.79245,1
135.61575,-15.44687,1
132.703,-11.7718,1
132.73672,-11.7873,1
132.71741,-11.77218,1
130.75441,-13.348320000000001,1
134.57063,-12.26538,1
130.7453,-13.1259,1
144.22717,-16.09345,1
130.76968,-13.126270000000002,1
142.21864,-10.68399,1
132.13243,-11.36373,1
135.2942,-12.5688,1
134.92989,-12.22235,1
130.25655,-15.859829999999999,1
150.15147,-31.60223,1
141.93158,-12.516580000000001,1
142.56989,-17.199370000000002,1
132.7147,-11.78,1
128.18095,-17.05797,1
135.61642,-15.413210000000001,1
134.96059,-12.24555,1
136.5456,-16.1677,1
131.00159,-13.222539999999999,1
133.8648,-12.4961,1
141.6329,-14.24867,1
142.90747,-13.14756,1
135.66811,-12.12181,1
130.0445,-14.124,1
135.38622,-12.55499,1
130.97628999999998,-13.355960000000001,1
136.48166,-16.35114,1
134.85849,-12.37217,1
132.1322,-11.39373,1
144.27754,-16.07166,1
150.58482,-22.685229999999997,1
142.77307,-17.022070000000003,1
143.29305,-12.78784,1
136.55038000000002,-16.16645,1
133.86331,-12.50662,1
130.8345,-13.05947,1
136.65652,-13.79362,1
132.03024,-12.79165,1
135.59752,-15.48515,1
134.56763,-12.27792,1
144.25739,-16.07706,1
145.3833,-40.84982,1
136.5498,-16.16504,1
