GrLivArea,SalePrice
1007.775,28577
1002.05,26983
1008.5,24929
1008.275,20881
1015.45,17694
1008.6,15361
1006.9,14400
1006.6,14365
1012.2,12952
1018.75,12617
1013.4,12276
1019.2,11792
1012.25,11511
1013.55,11483
1015.325,11431
1012.3,11386
1009.8,11293
1015.5,11189
1013,11161
1016.05,10990
1015.6,10727
1019.95,10299
1013.725,10223
1009.925,9698
1004.4,9501
1005.2,9104
1020.7,9058
1014.4,9017
1018.65,8891
1016.5,8652
1004.25,8645
1006.9,8514
1010.05,8470
1009.6,8448
1011.55,8439
1016.75,8355
1020.85,8207
1016.775,8201
1007.425,8157
1021.55,7982
994.5,7405
1010.7,7140
1016.425,6799
1012.05,6773
1016.625,6644
1012.6,6618
1018.125,6496
1015.3,6446
1013.4,6344
1009.1,6311
1019.525,6094
1016.2,5886
1015.55,5771
1012.075,5627
1008.05,5581
1015,5530
1015.475,5509
1020.1,5477
1020.4,5422
1010.825,5146
1011.25,5058
1012.35,5053
1017.366667,5039
1012.375,5032
1021.95,4785
1016.35,4731
1017.85,4725
1015.325,4718
1006.7,4620
1007.325,4604
1013.325,4551
1020,4510
1014.825,4420
1009.725,4320
1011.8,4288
1011.175,4237
1014.95,4213
1014.55,4141
1013.95,4083
1015.35,4010
1016.725,4002
1013.15,3996
1009.3,3992
1018.25,3984
1014.8,3941
1014.875,3906
1014.225,3899
1017.8,3878
1017.5,3878
1015.2,3811
1013.975,3806
1018.45,3786
1016.35,3779
1019.666667,3760
1014.7,3757
1012.95,3741
1016.175,3730
1015.125,3719
1009.95,3585
1014.4,3552
1006.75,3525
1017.6,3492
1010.975,3491
1015.4,3478
1006.25,3451
1015.825,3371
1013.225,3363
1015.075,3358
1014.325,3335
1009.275,3317
1009.166667,3300
1016.125,3277
1010.575,3259
1014.6,3253
1016.475,3247
1019.5,3222
1003.25,3219
1017.2,3212
1012.1,3191
1014.85,3175
1011.1,3119
1013.35,3111
1015.75,3050
1010.15,3025
1007.45,3002
1004.05,2982
1019.375,2974
1010.8,2958
1016.133333,2945
1015.1,2941
1014.9,2935
1017,2905
1010.333333,2898
1018.6,2855
1012.966667,2813
1021.225,2755
1011.5,2740
1009.966667,2726
1015.166667,2726
1016.766667,2705
1010.875,2702
1012.75,2669
1022,2666
1011.733333,2653
1008.15,2619
1017.25,2591
1017.475,2587
1016.9,2586
1017.65,2565
1013.35,2539
1016,2527
1011.866667,2525
1022.5,2489
1020.075,2486
1015.7,2434
1007.5,2428
1017.766667,2419
1021.666667,2409
1016.925,2390
1011.85,2353
1013.25,2332
1013.95,2308
1011.2,2306
1023.233333,2269
1015.975,2257
1023.6,2225
1010.825,2209
1014.1,2194
1012.4,2190
1012.8,2181
1014.65,2161
1014.9,2151
1012.85,2145
1021.2,2118
1020.2,2118
1023.7,2098
1014.65,2093
1015.1,2086
1009.45,2065
1018.7,2057
1011.375,2053
1014.866667,2036
1014.925,2027
1015.775,2022
1013.45,2012
1021.125,2008
1012.125,1994
1012.233333,1967
1005.45,1962
1011.35,1936
1022.533333,1935
1018.9,1927
1013.25,1926
1020.325,1904
1022.233333,1902
1014.4,1902
1009.1,1889
1013.975,1886
1012.15,1851
1016.375,1847
1025,1844
1018.9,1828
1017.975,1827
1024.7,1810
1011,1808
1019.775,1806
1003.7,1806
1016.575,1803
1010.1,1794
1021.5,1789
1016.025,1788
1021.2,1784
1018.7,1754
1021.8,1750
1015.725,1743
1010.466667,1731
1013.933333,1718
1019.225,1712
1015.35,1710
1011.7,1704
1016.325,1702
1018.05,1701
1022.4,1699
1009.633333,1697
1011.333333,1684
1017.433333,1661
1018.133333,1654
1012.575,1630
1017.6,1626
1019.575,1615
1022.275,1601
1016.55,1596
997.7,1591
1002.95,1590
1026.6,1567
1018.225,1566
1024.25,1554
1018.066667,1534
1013.475,1513
1021.75,1473
1015.85,1448
1018.15,1447
1013.166667,1442
1020.775,1428
1024.325,1422
1016.9,1412
1010.3,1410
1013.3,1400
1017.4,1390
1019.1,1383
1019.125,1364
1016.3,1361
1017.7,1354
1017.575,1350
1015.375,1346
1019.85,1322
1016.85,1322
1016.633333,1320
1013.775,1314
1013.025,1308
1014.966667,1301
1021.466667,1297
1017.8,1295
1008.833333,1287
1022.375,1279
1008.933333,1275
1018.8,1253
1009.433333,1238
1019.25,1230
1017.025,1228
1015.533333,1224
1010.65,1221
1014.2,1217
1022.65,1216
1015.7,1215
1008.9,1213
1021.55,1207
1012.333333,1201
