GrLivArea,SalePrice
28,37386
29.5,31406
28.275,28785
39.375,20881
30.5,15826
27.43333333,14400
36.16666667,14365
34.23333333,12748
25.8,12639
28.575,12617
25.175,12462
19.66666667,11764
22.36666667,11483
33.075,11431
32.9,11329
28.3,11142
23.43333333,10776
27.225,10540
30,10412
27.26666667,10299
26.03333333,9760
32.96666667,9698
24.76666667,9356
32.63333333,9104
24.5,8878
26.5,8864
29.06666667,8670
29.13333333,8651
33.86666667,8514
36.46666667,8448
30.1,8411
29.6,8336
32.93333333,8157
25.73333333,7971
30.63333333,7789
33.5,7469
30.6,7423
28.06666667,7420
21.7,7401
28.425,7311
31.9,7145
26.73333333,7133
31.03333333,7108
28.925,7098
28.425,6815
31.725,6316
29.075,6262
28.13333333,6223
22.575,6094
20.9,6067
29.725,6049
22.13333333,5937
30.13333333,5880
33.33333333,5838
24.53333333,5771
25.96666667,5705
29.95,5671
32.6,5556
28.625,5531
42,5450
35.6,5435
23.9,5189
29.875,5152
27.16666667,5150
25.8,5075
27.1,5053
32.73333333,5040
30.2,5038
24.3,4992
37.05,4940
33.96666667,4916
36.53333333,4897
30.4,4672
22.63333333,4624
36.23333333,4604
29.03333333,4368
23.7,4249
29.525,4205
29.36666667,4185
34.6,4171
41.175,4141
38.36666667,4107
29.975,4064
24.86666667,4054
37.9,4022
27.675,4002
26.16666667,3776
29.76666667,3755
22.46666667,3737
30.6,3737
27.3,3566
31.275,3491
33.6,3478
28.525,3474
16.73333333,3445
31.05,3402
31.5,3398
32.36666667,3371
32.26666667,3363
27.65,3335
37.1,3259
28.5,3248
27.725,3247
28.15,3218
24.63333333,3213
30.9,3163
25.93333333,3161
31.13333333,3111
22.45,3089
26.275,3078
35.66666667,3053
32.33333333,3032
37.06666667,3021
33.66666667,3011
35.85,3001
21.45,2994
33.1,2982
29.925,2961
29.175,2958
28.1,2930
39.5,2898
36.13333333,2879
19.93333333,2857
38.1,2845
30.06666667,2842
22.925,2832
28.66666667,2829
26.53333333,2791
28.875,2787
26.96666667,2778
27.4,2755
34.675,2751
40.7,2726
31.83333333,2726
25.23333333,2720
32,2710
29.55,2667
24.725,2656
36.7,2653
27.425,2628
26.4,2587
31.8,2584
27.075,2553
18.7,2543
31.76666667,2543
35.93333333,2525
34.36666667,2499
33.73333333,2493
33.06666667,2486
35,2475
31,2474
31.875,2457
28.375,2451
31.66666667,2435
31.93333333,2409
30.53333333,2398
27.35,2395
28.93333333,2371
26.775,2332
27.23333333,2321
27.975,2310
35.3,2306
29.4,2269
35.3,2225
24.6,2218
32.43333333,2216
28.25,2209
30.26666667,2209
34.73333333,2173
27.575,2161
27.625,2151
35.2,2145
28.6,2130
36.3,2098
21.66666667,2091
26.325,2089
32.225,2086
29.83333333,2073
28.925,2065
30.275,2053
30.7,2049
27.425,2039
29.9,2037
25.925,2017
29.6,2012
21.53333333,2004
35.73333333,2002
22.7,2001
33.16666667,1994
26.1,1991
23.2,1987
36.63333333,1967
35.13333333,1967
31.56666667,1962
40.76666667,1948
17.53333333,1936
30.15,1906
35.93333333,1904
28.53333333,1902
34.4,1902
35.53333333,1895
31.36666667,1895
37.3,1892
31.45,1889
37.63333333,1874
28.2,1872
32.53333333,1852
33.26666667,1851
24.475,1850
16.93333333,1844
30.16666667,1836
28.575,1832
33.3,1827
32.225,1806
30.83333333,1805
16.06666667,1796
25.06666667,1792
19.76666667,1792
29.1,1789
25.05,1784
38.9,1780
29.25,1759
19.46666667,1754
34.96666667,1754
35.36666667,1752
21,1750
39.93333333,1731
35.06666667,1718
34.8,1715
25.56666667,1712
28.33333333,1703
26.35,1697
26.66666667,1697
34.16666667,1696
29.33333333,1692
24.66666667,1685
22.16666667,1661
31.23333333,1661
24.43333333,1630
34.9,1628
25.5,1628
24.43333333,1626
25.525,1615
26.93333333,1599
19.2,1591
29.16666667,1590
28.775,1589
29.15,1586
22.75,1567
36.43333333,1566
27.33333333,1563
29.3,1547
25.275,1536
31.6,1533
21.73333333,1527
28.975,1513
22.5,1508
24.16666667,1500
28.925,1483
25,1422
23.95,1397
23,1393
28.325,1390
24.65,1383
24,1368
32.35,1354
38.66666667,1352
26.4,1348
28.05,1334
32.76666667,1330
33.76666667,1320
29.26666667,1314
28.26666667,1297
32.16666667,1295
26.475,1292
36.3,1283
26.075,1279
28.6,1275
39.5,1275
27.23333333,1244
38.43333333,1238
25.575,1230
32.3,1228
34.33333333,1224
28.125,1222
29.65,1221
23.46666667,1220
23.73333333,1216
34.5,1215
25.65,1215
26.33333333,1192
39.86666667,1172
27.275,1168
23.525,1160
25.33333333,1148
23.53333333,1140
26.925,1138
37.86666667,1130
36.175,1129
22.66666667,1125
32.7,1116
34.3,1100
28.15,1093
19.5,1084
22.8,1079
25.55,1060
32.3,1058
25.66666667,1058
24.325,1057
35.5,1054
24.46666667,1052
26.575,1042
20.93333333,1042
39,1041
27.8,1034
25.825,1032
39.13333333,1029
27,1025
23.125,1012
38,1002
25.525,997
18.9,997
33.9,992
18,986
29.325,979
27.1,945
24.1,944
23.36666667,942
27.175,939
23.06666667,936
25.975,933
24.525,917
24.775,915
35.65,908
28.06666667,898
25.425,887
31.83333333,885
35.26666667,882
30.55,878
26.975,870
24.275,858
28.275,857
26.025,857
25.25,855
37.425,847
33.8,847
21.775,822
31.875,820
23.06666667,817
30.75,801
25.63333333,796
40.03333333,785
37.36666667,784
27.3,779
39.1,760
32.13333333,751
27.2,734
20.05,733
25.53333333,728
24.45,712
27.45,707
25.4,699
38.025,691
38.9,685
38.16666667,685
19.26666667,684
26.06666667,684
32.8,669
28.725,659
19.36666667,658
28.775,657
36.4,655
34.1,650
27.325,643
29.2,642
21.63333333,634
28.375,633
28.875,633
25.2,633
33.4,632
31.73333333,630
25.7,625
33.05,623
32.1,616
30.73333333,613
25.975,610
18.5,608
25.35,602
40.575,599
29.75,593
33.2,574
22.6,564
22.13333333,563
39.36666667,562
20.53333333,555
38.46666667,553
32.03333333,552
24.4,551
27.63333333,542
26.225,536
27.8,532
27.9,531
35.96666667,526
33.13333333,525
21.5,522
26.875,520
26.13333333,517
36.525,513
37.76666667,501
33.85,501
27.26666667,496
32.53333333,491
25.325,489
22.4,482
21.13333333,479
29.475,470
24.625,461
23.5,460
29.45,456
20.3,454
